#bytes,#repetitions,t[usec],Mbytes/sec
4194304,10,668.79,6271.50
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.43,0.00
1,1000,0.43,2.32
2,1000,0.43,4.62
4,1000,0.43,9.21
8,1000,0.43,18.45
16,1000,0.43,36.96
32,1000,6.96,4.60
64,1000,0.48,133.94
128,1000,0.58,220.01
256,1000,0.62,414.75
512,1000,0.85,603.32
1024,1000,7.40,138.47
2048,1000,1.10,1862.43
4096,1000,1.47,2778.12
8192,1000,1.98,4147.03
16384,1000,3.31,4944.90
32768,1000,11.81,2774.94
65536,640,19.81,3307.47
131072,320,38.49,3404.95
262144,160,75.35,3479.05
524288,80,164.68,3183.75
1048576,40,392.99,2668.18
2097152,20,984.25,2130.71
4194304,10,1358.75,3086.88
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.43,0.00
1,1000,0.43,2.32
2,1000,0.43,4.64
4,1000,0.43,9.25
8,1000,0.43,18.44
16,1000,0.43,36.83
32,1000,0.48,67.12
64,1000,0.47,135.47
128,1000,0.57,222.86
256,1000,0.63,409.58
512,1000,0.79,645.00
1024,1000,0.87,1173.16
2048,1000,1.03,1997.41
4096,1000,1.47,2787.51
8192,1000,1.91,4292.22
16384,1000,3.26,5028.21
32768,1000,5.00,6554.83
65536,640,9.26,7077.37
131072,320,17.87,7333.36
262144,160,34.11,7686.31
524288,80,83.29,6294.81
1048576,40,170.04,6166.65
2097152,20,337.08,6221.52
4194304,10,669.12,6268.37
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.43,0.00
1,1000,0.43,2.32
2,1000,0.43,4.64
4,1000,0.43,9.20
8,1000,0.43,18.42
16,1000,0.43,37.15
32,1000,0.47,68.73
64,1000,0.47,136.80
128,1000,0.58,222.01
256,1000,0.62,411.06
512,1000,0.84,607.80
1024,1000,0.91,1127.91
2048,1000,1.08,1889.97
4096,1000,1.53,2668.76
8192,1000,1.95,4205.00
16384,1000,3.31,4953.68
32768,1000,5.11,6406.98
65536,640,9.37,6996.46
131072,320,17.96,7299.84
262144,160,34.45,7610.35
524288,80,82.70,6339.27
1048576,40,169.93,6170.75
2097152,20,337.23,6218.73
4194304,10,669.34,6266.29
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.43,0.00
1,1000,0.43,2.32
2,1000,0.43,4.61
4,1000,0.44,9.18
8,1000,0.43,18.64
16,1000,0.43,36.92
32,1000,0.47,68.20
64,1000,0.48,134.13
128,1000,0.57,224.01
256,1000,0.62,413.67
512,1000,0.86,594.90
1024,1000,0.91,1129.03
2048,1000,1.09,1875.02
4096,1000,1.48,2760.25
8192,1000,1.98,4134.33
16384,1000,3.17,5162.36
32768,1000,5.59,5864.95
65536,640,10.89,6017.79
131072,320,43.53,3010.77
262144,160,53.06,4940.76
524288,80,135.27,3875.88
1048576,40,311.68,3364.32
2097152,20,416.21,5038.70
4194304,10,797.40,5260.00
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.43,0.00
1,1000,0.43,2.31
2,1000,0.43,4.61
4,1000,0.43,9.20
8,1000,0.43,18.45
16,1000,0.44,36.61
32,1000,0.48,67.29
64,1000,0.47,134.77
128,1000,0.58,219.62
256,1000,0.62,413.31
512,1000,0.83,619.57
1024,1000,0.91,1123.44
2048,1000,1.10,1867.71
4096,1000,1.51,2712.37
8192,1000,1.97,4156.53
16384,1000,3.26,5032.23
32768,1000,5.04,6503.70
65536,640,9.14,7168.94
131072,320,17.95,7302.42
262144,160,35.06,7478.03
524288,80,83.74,6260.94
1048576,40,169.51,6185.97
2097152,20,337.29,6217.72
4194304,10,668.13,6277.70
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.43,0.00
1,1000,0.43,2.32
2,1000,0.44,4.57
4,1000,0.43,9.24
8,1000,0.43,18.49
16,1000,0.43,36.80
32,1000,0.47,67.50
64,1000,0.47,136.09
128,1000,0.57,225.41
256,1000,0.61,420.21
512,1000,0.81,635.28
1024,1000,0.89,1146.51
2048,1000,1.07,1905.96
4096,1000,1.53,2684.50
8192,1000,1.96,4188.99
16384,1000,3.26,5019.99
32768,1000,5.08,6449.20
65536,640,9.38,6984.68
131072,320,17.90,7322.18
262144,160,34.79,7535.51
524288,80,82.96,6319.55
1048576,40,169.95,6169.83
2097152,20,337.30,6217.50
4194304,10,670.88,6251.97
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.43,0.00
1,1000,0.43,2.32
2,1000,0.43,4.62
4,1000,0.43,9.20
8,1000,0.43,18.46
16,1000,0.43,36.87
32,1000,0.47,68.36
64,1000,0.47,135.51
128,1000,0.58,222.16
256,1000,0.62,414.22
512,1000,0.83,614.52
1024,1000,0.90,1132.71
2048,1000,1.07,1908.74
4096,1000,1.59,2584.03
8192,1000,2.00,4095.16
16384,1000,3.32,4934.20
32768,1000,5.09,6437.00
65536,640,9.18,7142.27
131072,320,18.02,7274.01
262144,160,34.46,7606.15
524288,80,83.64,6268.67
1048576,40,169.97,6169.04
2097152,20,336.88,6225.21
4194304,10,669.09,6268.70
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.43,0.00
1,1000,0.43,2.33
2,1000,0.43,4.61
4,1000,0.43,9.20
8,1000,0.43,18.40
16,1000,0.43,36.99
32,1000,0.48,67.25
64,1000,0.47,135.56
128,1000,0.57,223.54
256,1000,0.61,418.15
512,1000,0.79,648.33
1024,1000,0.88,1168.15
2048,1000,1.01,2020.00
4096,1000,1.45,2832.67
8192,1000,2.01,4066.27
16384,1000,3.18,5145.16
32768,1000,5.12,6406.23
65536,640,9.35,7012.95
131072,320,17.96,7299.79
262144,160,34.57,7583.53
524288,80,83.54,6275.96
1048576,40,170.17,6161.95
2097152,20,337.37,6216.18
4194304,10,669.22,6267.45
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.43,0.00
1,1000,0.43,2.31
2,1000,0.44,4.59
4,1000,0.44,9.15
8,1000,0.44,18.38
16,1000,0.43,36.79
32,1000,0.47,68.29
64,1000,0.47,136.59
128,1000,0.57,225.74
256,1000,0.62,412.31
512,1000,0.83,620.11
1024,1000,0.88,1159.20
2048,1000,1.04,1963.60
4096,1000,1.55,2634.80
8192,1000,1.97,4165.11
16384,1000,3.23,5065.48
32768,1000,5.00,6550.46
65536,640,9.28,7063.43
131072,320,17.94,7306.23
262144,160,34.38,7624.32
524288,80,83.64,6268.34
1048576,40,170.07,6165.66
2097152,20,337.73,6209.60
4194304,10,670.37,6256.67
